[DBUG] 2026/02/12 21:38 Log level set to "debug"
[DBUG] 2026/02/12 21:38 Using <UUID4> to identify requests
[DBUG] 2026/02/12 21:38 API: 6 registered routes (3 GET, 2 HEAD and 1 POST)
GET: / ./who-is-spy-fe (C:/Users/13809/go/pkg/mod/github.com/kataras/iris/v12@v12.2.11/core/router/fs.go:203)
GET: /{file:path} ./who-is-spy-fe (C:/Users/13809/go/pkg/mod/github.com/kataras/iris/v12@v12.2.11/core/router/fs.go:203)
GET: /api/v1/ws/join (D:/my_projects/who-is-spy-be/internal/api/http/websocket/game.go:16)

HEAD: / (C:/Users/13809/go/pkg/mod/github.com/kataras/iris/v12@v12.2.11/core/router/fs.go:203)
HEAD: /{file:path} (C:/Users/13809/go/pkg/mod/github.com/kataras/iris/v12@v12.2.11/core/router/fs.go:203)

POST: /api/v1/rooms/create (D:/my_projects/who-is-spy-be/internal/api/http/room.go:11)

Iris Version: 12.2.11

Now listening on: 
> Network:  http://172.19.253.98:2026
> Local:    http://localhost:2026
Application started. Press CTRL+C to shut down.
2026-02-12T21:40:51.773+0800	DEBUG	game/context.go:53	成功发送广播响应	{"player_id": "487d4c5f", "response": {"response_type":"JoinGame","data":{"room_id":"3aa4f7a0","stage":"Waiting","joiner":{"id":"487d4c5f","name":"B3","role":"Unset"},"players":[{"id":"3ff33777","name":"aaa","role":"Admin"},{"id":"ef695b5a","name":"B1","role":"Unset"},{"id":"2753270a","name":"B2","role":"Unset"},{"id":"487d4c5f","name":"B3","role":"Unset"}],"master_id":"3ff33777"}}}
2026-02-12T21:40:51.773+0800	INFO	websocket/game.go:112	玩家成功加入房间	{"client_ip": "123.122.15.156", "player_id": "487d4c5f", "player_name": "B3"}
2026-02-12T21:40:51.773+0800	DEBUG	websocket/game.go:182	发送消息	{"client_ip": "49.65.134.156", "response": {"response_type":"JoinGame","data":{"room_id":"3aa4f7a0","stage":"Waiting","joiner":{"id":"487d4c5f","name":"B3","role":"Unset"},"players":[{"id":"3ff33777","name":"aaa","role":"Admin"},{"id":"ef695b5a","name":"B1","role":"Unset"},{"id":"2753270a","name":"B2","role":"Unset"},{"id":"487d4c5f","name":"B3","role":"Unset"}],"master_id":"3ff33777"}}}
2026-02-12T21:40:51.773+0800	DEBUG	websocket/game.go:182	发送消息	{"client_ip": "123.122.15.156", "response": {"response_type":"JoinGame","data":{"room_id":"3aa4f7a0","stage":"Waiting","joiner":{"id":"487d4c5f","name":"B3","role":"Unset"},"players":[{"id":"3ff33777","name":"aaa","role":"Admin"},{"id":"ef695b5a","name":"B1","role":"Unset"},{"id":"2753270a","name":"B2","role":"Unset"},{"id":"487d4c5f","name":"B3","role":"Unset"}],"master_id":"3ff33777"}}}
2026-02-12T21:40:51.773+0800	DEBUG	websocket/game.go:182	发送消息	{"client_ip": "123.122.15.156", "response": {"response_type":"JoinGame","data":{"room_id":"3aa4f7a0","stage":"Waiting","joiner":{"id":"487d4c5f","name":"B3","role":"Unset"},"players":[{"id":"3ff33777","name":"aaa","role":"Admin"},{"id":"ef695b5a","name":"B1","role":"Unset"},{"id":"2753270a","name":"B2","role":"Unset"},{"id":"487d4c5f","name":"B3","role":"Unset"}],"master_id":"3ff33777"}}}
2026-02-12T21:40:51.774+0800	DEBUG	websocket/game.go:182	发送消息	{"client_ip": "123.122.15.156", "response": {"response_type":"JoinGame","data":{"room_id":"3aa4f7a0","stage":"Waiting","joiner":{"id":"487d4c5f","name":"B3","role":"Unset"},"players":[{"id":"3ff33777","name":"aaa","role":"Admin"},{"id":"ef695b5a","name":"B1","role":"Unset"},{"id":"2753270a","name":"B2","role":"Unset"},{"id":"487d4c5f","name":"B3","role":"Unset"}],"master_id":"3ff33777"}}}
2026-02-12T21:40:58.174+0800	DEBUG	websocket/game.go:151	发送心跳	{"client_ip": "123.122.15.156"}
2026-02-12T21:41:10.483+0800	DEBUG	websocket/game.go:151	发送心跳	{"client_ip": "49.65.134.156"}
2026-02-12T21:41:15.666+0800	DEBUG	websocket/game.go:151	发送心跳	{"client_ip": "123.122.15.156"}
2026-02-12T21:41:21.778+0800	DEBUG	websocket/game.go:151	发送心跳	{"client_ip": "123.122.15.156"}
2026-02-12T21:41:28.174+0800	DEBUG	websocket/game.go:151	发送心跳	{"client_ip": "123.122.15.156"}
2026-02-12T21:41:40.485+0800	DEBUG	websocket/game.go:151	发送心跳	{"client_ip": "49.65.134.156"}
2026-02-12T21:41:45.665+0800	DEBUG	websocket/game.go:151	发送心跳	{"client_ip": "123.122.15.156"}
2026-02-12T21:41:51.779+0800	DEBUG	websocket/game.go:151	发送心跳	{"client_ip": "123.122.15.156"}
2026-02-12T21:41:58.173+0800	DEBUG	websocket/game.go:151	发送心跳	{"client_ip": "123.122.15.156"}
2026-02-12T21:42:01.601+0800	INFO	service/room.go:122	发送加入房间请求到游戏状态机	{"room_id": "1c8532ce", "joiner_name": "B4"}
2026-02-12T21:42:01.601+0800	DEBUG	game/fsm.go:62	接收到客户端请求	{"room_id": "3aa4f7a0", "request": {"request_type":"JoinGame","data":null}}
2026-02-12T21:42:01.601+0800	DEBUG	game/context.go:53	成功发送广播响应	{"player_id": "2753270a", "response": {"response_type":"JoinGame","data":{"room_id":"3aa4f7a0","stage":"Waiting","joiner":{"id":"630cc645","name":"B4","role":"Unset"},"players":[{"id":"3ff33777","name":"aaa","role":"Admin"},{"id":"ef695b5a","name":"B1","role":"Unset"},{"id":"2753270a","name":"B2","role":"Unset"},{"id":"487d4c5f","name":"B3","role":"Unset"},{"id":"630cc645","name":"B4","role":"Unset"}],"master_id":"3ff33777"}}}
2026-02-12T21:42:01.601+0800	DEBUG	game/context.go:53	成功发送广播响应	{"player_id": "487d4c5f", "response": {"response_type":"JoinGame","data":{"room_id":"3aa4f7a0","stage":"Waiting","joiner":{"id":"630cc645","name":"B4","role":"Unset"},"players":[{"id":"3ff33777","name":"aaa","role":"Admin"},{"id":"ef695b5a","name":"B1","role":"Unset"},{"id":"2753270a","name":"B2","role":"Unset"},{"id":"487d4c5f","name":"B3","role":"Unset"},{"id":"630cc645","name":"B4","role":"Unset"}],"master_id":"3ff33777"}}}
2026-02-12T21:42:01.601+0800	DEBUG	game/context.go:53	成功发送广播响应	{"player_id": "630cc645", "response": {"response_type":"JoinGame","data":{"room_id":"3aa4f7a0","stage":"Waiting","joiner":{"id":"630cc645","name":"B4","role":"Unset"},"players":[{"id":"3ff33777","name":"aaa","role":"Admin"},{"id":"ef695b5a","name":"B1","role":"Unset"},{"id":"2753270a","name":"B2","role":"Unset"},{"id":"487d4c5f","name":"B3","role":"Unset"},{"id":"630cc645","name":"B4","role":"Unset"}],"master_id":"3ff33777"}}}
2026-02-12T21:42:01.601+0800	DEBUG	game/context.go:53	成功发送广播响应	{"player_id": "3ff33777", "response": {"response_type":"JoinGame","data":{"room_id":"3aa4f7a0","stage":"Waiting","joiner":{"id":"630cc645","name":"B4","role":"Unset"},"players":[{"id":"3ff33777","name":"aaa","role":"Admin"},{"id":"ef695b5a","name":"B1","role":"Unset"},{"id":"2753270a","name":"B2","role":"Unset"},{"id":"487d4c5f","name":"B3","role":"Unset"},{"id":"630cc645","name":"B4","role":"Unset"}],"master_id":"3ff33777"}}}
2026-02-12T21:42:01.601+0800	DEBUG	game/context.go:53	成功发送广播响应	{"player_id": "ef695b5a", "response": {"response_type":"JoinGame","data":{"room_id":"3aa4f7a0","stage":"Waiting","joiner":{"id":"630cc645","name":"B4","role":"Unset"},"players":[{"id":"3ff33777","name":"aaa","role":"Admin"},{"id":"ef695b5a","name":"B1","role":"Unset"},{"id":"2753270a","name":"B2","role":"Unset"},{"id":"487d4c5f","name":"B3","role":"Unset"},{"id":"630cc645","name":"B4","role":"Unset"}],"master_id":"3ff33777"}}}
2026-02-12T21:42:01.601+0800	DEBUG	websocket/game.go:182	发送消息	{"client_ip": "123.122.15.156", "response": {"response_type":"JoinGame","data":{"room_id":"3aa4f7a0","stage":"Waiting","joiner":{"id":"630cc645","name":"B4","role":"Unset"},"players":[{"id":"3ff33777","name":"aaa","role":"Admin"},{"id":"ef695b5a","name":"B1","role":"Unset"},{"id":"2753270a","name":"B2","role":"Unset"},{"id":"487d4c5f","name":"B3","role":"Unset"},{"id":"630cc645","name":"B4","role":"Unset"}],"master_id":"3ff33777"}}}
2026-02-12T21:42:01.601+0800	DEBUG	websocket/game.go:182	发送消息	{"client_ip": "123.122.15.156", "response": {"response_type":"JoinGame","data":{"room_id":"3aa4f7a0","stage":"Waiting","joiner":{"id":"630cc645","name":"B4","role":"Unset"},"players":[{"id":"3ff33777","name":"aaa","role":"Admin"},{"id":"ef695b5a","name":"B1","role":"Unset"},{"id":"2753270a","name":"B2","role":"Unset"},{"id":"487d4c5f","name":"B3","role":"Unset"},{"id":"630cc645","name":"B4","role":"Unset"}],"master_id":"3ff33777"}}}
2026-02-12T21:42:01.601+0800	DEBUG	websocket/game.go:182	发送消息	{"client_ip": "123.122.15.156", "response": {"response_type":"JoinGame","data":{"room_id":"3aa4f7a0","stage":"Waiting","joiner":{"id":"630cc645","name":"B4","role":"Unset"},"players":[{"id":"3ff33777","name":"aaa","role":"Admin"},{"id":"ef695b5a","name":"B1","role":"Unset"},{"id":"2753270a","name":"B2","role":"Unset"},{"id":"487d4c5f","name":"B3","role":"Unset"},{"id":"630cc645","name":"B4","role":"Unset"}],"master_id":"3ff33777"}}}
2026-02-12T21:42:01.601+0800	INFO	websocket/game.go:112	玩家成功加入房间	{"client_ip": "123.122.15.156", "player_id": "630cc645", "player_name": "B4"}
2026-02-12T21:42:01.601+0800	DEBUG	websocket/game.go:182	发送消息	{"client_ip": "49.65.134.156", "response": {"response_type":"JoinGame","data":{"room_id":"3aa4f7a0","stage":"Waiting","joiner":{"id":"630cc645","name":"B4","role":"Unset"},"players":[{"id":"3ff33777","name":"aaa","role":"Admin"},{"id":"ef695b5a","name":"B1","role":"Unset"},{"id":"2753270a","name":"B2","role":"Unset"},{"id":"487d4c5f","name":"B3","role":"Unset"},{"id":"630cc645","name":"B4","role":"Unset"}],"master_id":"3ff33777"}}}
2026-02-12T21:42:01.601+0800	DEBUG	websocket/game.go:182	发送消息	{"client_ip": "123.122.15.156", "response": {"response_type":"JoinGame","data":{"room_id":"3aa4f7a0","stage":"Waiting","joiner":{"id":"630cc645","name":"B4","role":"Unset"},"players":[{"id":"3ff33777","name":"aaa","role":"Admin"},{"id":"ef695b5a","name":"B1","role":"Unset"},{"id":"2753270a","name":"B2","role":"Unset"},{"id":"487d4c5f","name":"B3","role":"Unset"},{"id":"630cc645","name":"B4","role":"Unset"}],"master_id":"3ff33777"}}}
2026-02-12T21:42:10.479+0800	DEBUG	websocket/game.go:151	发送心跳	{"client_ip": "49.65.134.156"}
2026-02-12T21:42:15.665+0800	DEBUG	websocket/game.go:151	发送心跳	{"client_ip": "123.122.15.156"}
2026-02-12T21:42:16.744+0800	INFO	websocket/game.go:247	客户端连接断开，发送退出请求	{"client_ip": "123.122.15.156", "player_id": "ef695b5a"}
2026-02-12T21:42:16.744+0800	DEBUG	websocket/game.go:267	发送退出请求成功	{"player_id": "ef695b5a"}
2026-02-12T21:42:16.744+0800	INFO	websocket/game.go:279	WebSocket连接处理完成	{"client_ip": "123.122.15.156", "player_id": "ef695b5a"}
2026-02-12T21:42:16.744+0800	INFO	websocket/game.go:133	WebSocket写入协程退出	{"client_ip": "123.122.15.156"}
2026-02-12T21:42:16.744+0800	DEBUG	game/fsm.go:62	接收到客户端请求	{"room_id": "3aa4f7a0", "request": {"request_type":"ExitGame","data":null}}
2026-02-12T21:42:16.744+0800	INFO	game/logic.go:1178	检测到旧连接退出（已被顶替），只关闭旧通道不删除玩家	{"player_id": "ef695b5a", "player_name": "B1"}
2026-02-12T21:42:16.744+0800	DEBUG	game/logic.go:1197	旧连接通道已满或关闭
2026-02-12T21:42:19.766+0800	DEBUG	websocket/game.go:229	发送请求到游戏状态机	{"client_ip": "49.65.134.156", "request_wrapper": {"request_type":"SetWords","data":{"set_player_id":"3ff33777","word_list":["111","222"]}}}
2026-02-12T21:42:19.767+0800	DEBUG	game/fsm.go:62	接收到客户端请求	{"room_id": "3aa4f7a0", "request": {"request_type":"SetWords","data":{"set_player_id":"3ff33777","word_list":["111","222"]}}}
2026-02-12T21:42:19.767+0800	DEBUG	game/context.go:53	成功发送广播响应	{"player_id": "3ff33777", "response": {"response_type":"SetWords","data":{"word_list":[]}}}
2026-02-12T21:42:19.767+0800	DEBUG	game/context.go:53	成功发送广播响应	{"player_id": "ef695b5a", "response": {"response_type":"SetWords","data":{"word_list":[]}}}
2026-02-12T21:42:19.767+0800	DEBUG	game/context.go:53	成功发送广播响应	{"player_id": "2753270a", "response": {"response_type":"SetWords","data":{"word_list":[]}}}
2026-02-12T21:42:19.767+0800	DEBUG	game/context.go:53	成功发送广播响应	{"player_id": "487d4c5f", "response": {"response_type":"SetWords","data":{"word_list":[]}}}
2026-02-12T21:42:19.767+0800	DEBUG	game/context.go:53	成功发送广播响应	{"player_id": "630cc645", "response": {"response_type":"SetWords","data":{"word_list":[]}}}
2026-02-12T21:42:19.767+0800	DEBUG	websocket/game.go:182	发送消息	{"client_ip": "123.122.15.156", "response": {"response_type":"SetWords","data":{"word_list":[]}}}
2026-02-12T21:42:19.767+0800	DEBUG	websocket/game.go:182	发送消息	{"client_ip": "123.122.15.156", "response": {"response_type":"SetWords","data":{"word_list":[]}}}
2026-02-12T21:42:19.767+0800	DEBUG	websocket/game.go:182	发送消息	{"client_ip": "123.122.15.156", "response": {"response_type":"SetWords","data":{"word_list":[]}}}
2026-02-12T21:42:19.767+0800	DEBUG	websocket/game.go:182	发送消息	{"client_ip": "49.65.134.156", "response": {"response_type":"SetWords","data":{"word_list":[]}}}
2026-02-12T21:42:21.775+0800	DEBUG	websocket/game.go:151	发送心跳	{"client_ip": "123.122.15.156"}
2026-02-12T21:42:31.602+0800	DEBUG	websocket/game.go:151	发送心跳	{"client_ip": "123.122.15.156"}
2026-02-12T21:42:33.108+0800	INFO	service/room.go:122	发送加入房间请求到游戏状态机	{"room_id": "1c8532ce", "joiner_name": "B1"}
2026-02-12T21:42:33.108+0800	DEBUG	game/fsm.go:62	接收到客户端请求	{"room_id": "3aa4f7a0", "request": {"request_type":"JoinGame","data":null}}
2026-02-12T21:42:33.108+0800	INFO	game/logic.go:1013	检测到同名玩家，执行断线重连	{"player_id": "ef695b5a", "player_name": "B1"}
2026-02-12T21:42:33.108+0800	DEBUG	game/logic.go:1022	已关闭旧连接的响应通道	{"player_id": "ef695b5a"}
2026-02-12T21:42:33.109+0800	DEBUG	game/logic.go:1045	成功发送重连者私有快照	{"player_id": "ef695b5a"}
2026-02-12T21:42:33.109+0800	DEBUG	game/context.go:53	成功发送广播响应	{"player_id": "3ff33777", "response": {"response_type":"JoinGame","data":{"room_id":"3aa4f7a0","stage":"Waiting","joiner":{"id":"ef695b5a","name":"B1","role":"Unset"},"players":[{"id":"630cc645","name":"B4","role":"Unset"},{"id":"3ff33777","name":"aaa","role":"Admin"},{"id":"ef695b5a","name":"B1","role":"Unset"},{"id":"2753270a","name":"B2","role":"Unset"},{"id":"487d4c5f","name":"B3","role":"Unset"}],"master_id":"3ff33777"}}}
2026-02-12T21:42:33.109+0800	DEBUG	game/context.go:53	成功发送广播响应	{"player_id": "ef695b5a", "response": {"response_type":"JoinGame","data":{"room_id":"3aa4f7a0","stage":"Waiting","joiner":{"id":"ef695b5a","name":"B1","role":"Unset"},"players":[{"id":"630cc645","name":"B4","role":"Unset"},{"id":"3ff33777","name":"aaa","role":"Admin"},{"id":"ef695b5a","name":"B1","role":"Unset"},{"id":"2753270a","name":"B2","role":"Unset"},{"id":"487d4c5f","name":"B3","role":"Unset"}],"master_id":"3ff33777"}}}
2026-02-12T21:42:33.109+0800	DEBUG	game/context.go:53	成功发送广播响应	{"player_id": "2753270a", "response": {"response_type":"JoinGame","data":{"room_id":"3aa4f7a0","stage":"Waiting","joiner":{"id":"ef695b5a","name":"B1","role":"Unset"},"players":[{"id":"630cc645","name":"B4","role":"Unset"},{"id":"3ff33777","name":"aaa","role":"Admin"},{"id":"ef695b5a","name":"B1","role":"Unset"},{"id":"2753270a","name":"B2","role":"Unset"},{"id":"487d4c5f","name":"B3","role":"Unset"}],"master_id":"3ff33777"}}}
2026-02-12T21:42:33.109+0800	DEBUG	game/context.go:53	成功发送广播响应	{"player_id": "487d4c5f", "response": {"response_type":"JoinGame","data":{"room_id":"3aa4f7a0","stage":"Waiting","joiner":{"id":"ef695b5a","name":"B1","role":"Unset"},"players":[{"id":"630cc645","name":"B4","role":"Unset"},{"id":"3ff33777","name":"aaa","role":"Admin"},{"id":"ef695b5a","name":"B1","role":"Unset"},{"id":"2753270a","name":"B2","role":"Unset"},{"id":"487d4c5f","name":"B3","role":"Unset"}],"master_id":"3ff33777"}}}
